# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>
# KOK DENUT HELEN NIK ELSIK CIV LNO SPI SOPOK PITES ROUSY
# EBBR 25R
EBBR,25L,PITES,ROUSY,2
#
EBBR,25L,ROUSY,KOK,1
EBBR,25L,ROUSY,DENUT,1
EBBR,25L,ROUSY,HELEN,1
EBBR,25L,ROUSY,NIK,1
EBBR,25L,ROUSY,ELSIK,1
EBBR,25L,ROUSY,CIV,1
EBBR,25L,ROUSY,LNO,2
EBBR,25L,ROUSY,SPI,2
EBBR,25L,ROUSY,SOPOK,2
EBBR,25L,ROUSY,PITES,2
EBBR,25L,ROUSY,ROUSY,2
#
# EBBR 01 -------------------------
EBBR,01,KOK,KOK,2
EBBR,01,KOK,DENUT,2
EBBR,01,KOK,HELEN,2
EBBR,01,KOK,NIK,2
EBBR,01,KOK,ELSIK,1
EBBR,01,KOK,CIV,1
EBBR,01,KOK,LNO,1
EBBR,01,KOK,SPI,1
EBBR,01,KOK,SOPOK,1
EBBR,01,KOK,PITES,1
EBBR,01,KOK,ROUSY,1
# 
EBBR,01,DENUT,KOK,2
EBBR,01,DENUT,DENUT,2
EBBR,01,DENUT,HELEN,2
EBBR,01,DENUT,NIK,2
EBBR,01,DENUT,ELSIK,1
EBBR,01,DENUT,CIV,2
EBBR,01,DENUT,LNO,1
EBBR,01,DENUT,SPI,1
EBBR,01,DENUT,SOPOK,1
EBBR,01,DENUT,PITES,1
EBBR,01,DENUT,ROUSY,1
#
EBBR,01,NIK,KOK,2
EBBR,01,NIK,DENUT,2
EBBR,01,NIK,HELEN,2
EBBR,01,NIK,NIK,2
EBBR,01,NIK,ELSIK,1
EBBR,01,NIK,CIV,2
EBBR,01,NIK,LNO,1
EBBR,01,NIK,SPI,1
EBBR,01,NIK,SOPOK,1
EBBR,01,NIK,PITES,1
EBBR,01,NIK,ROUSY,1
#
EBBR,01,ELSIK,KOK,1
EBBR,01,ELSIK,DENUT,1
EBBR,01,ELSIK,HELEN,1
EBBR,01,ELSIK,NIK,1
EBBR,01,ELSIK,ELSIK,2
EBBR,01,ELSIK,CIV,2
EBBR,01,ELSIK,LNO,2
EBBR,01,ELSIK,SPI,2
EBBR,01,ELSIK,SOPOK,2
EBBR,01,ELSIK,PITES,2
EBBR,01,ELSIK,ROUSY,2
#
EBBR,01,CIV,KOK,1
EBBR,01,CIV,DENUT,1
EBBR,01,CIV,HELEN,1
EBBR,01,CIV,NIK,1
EBBR,01,CIV,ELSIK,1
EBBR,01,CIV,CIV,2
EBBR,01,CIV,LNO,2
EBBR,01,CIV,SPI,2
EBBR,01,CIV,SOPOK,2
EBBR,01,CIV,PITES,2
EBBR,01,CIV,ROUSY,2
#
EBBR,01,LNO,KOK,1
EBBR,01,LNO,DENUT,1
EBBR,01,LNO,HELEN,1
EBBR,01,LNO,NIK,1
EBBR,01,LNO,ELSIK,2
EBBR,01,LNO,CIV,2
EBBR,01,LNO,LNO,2
EBBR,01,LNO,SPI,2
EBBR,01,LNO,SOPOK,2
EBBR,01,LNO,PITES,2
EBBR,01,LNO,ROUSY,2
#
EBBR,01,SPI,KOK,1
EBBR,01,SPI,DENUT,1
EBBR,01,SPI,HELEN,1
EBBR,01,SPI,NIK,1
EBBR,01,SPI,ELSIK,2
EBBR,01,SPI,CIV,2
EBBR,01,SPI,LNO,2
EBBR,01,SPI,SPI,2
EBBR,01,SPI,SOPOK,2
EBBR,01,SPI,PITES,2
EBBR,01,SPI,ROUSY,2
#
EBBR,01,SOPOK,KOK,1
EBBR,01,SOPOK,DENUT,1
EBBR,01,SOPOK,HELEN,1
EBBR,01,SOPOK,NIK,1
EBBR,01,SOPOK,ELSIK,2
EBBR,01,SOPOK,CIV,2
EBBR,01,SOPOK,LNO,2
EBBR,01,SOPOK,SPI,2
EBBR,01,SOPOK,SOPOK,2
EBBR,01,SOPOK,PITES,2
EBBR,01,SOPOK,ROUSY,2
#
EBBR,01,PITES,KOK,1
EBBR,01,PITES,DENUT,1
EBBR,01,PITES,HELEN,1
EBBR,01,PITES,NIK,1
EBBR,01,PITES,ELSIK,2
EBBR,01,PITES,CIV,2
EBBR,01,PITES,LNO,2
EBBR,01,PITES,SPI,2
EBBR,01,PITES,SOPOK,2
EBBR,01,PITES,PITES,2
EBBR,01,PITES,ROUSY,2
#
EBBR,01,ROUSY,KOK,1
EBBR,01,ROUSY,DENUT,1
EBBR,01,ROUSY,HELEN,1
EBBR,01,ROUSY,NIK,1
EBBR,01,ROUSY,ELSIK,2
EBBR,01,ROUSY,CIV,2
EBBR,01,ROUSY,LNO,2
EBBR,01,ROUSY,SPI,2
EBBR,01,ROUSY,SOPOK,2
EBBR,01,ROUSY,PITES,2
EBBR,01,ROUSY,ROUSY,2
